	V_cra Queen.x	V_cra Worker.x	V_vul Queen.x	V_vul Worker.x	A_caj Queen.x	A_caj Worker.x	P_can Queen.x	P_can Worker.x	A_pal Queen.x	A_pal Worker.x	M_cin Queen.x	M_cin Worker.x	M_bas Queen.x	M_bas Worker.x	P_qua Queen.x	P_qua Worker.x	B_mel Queen.x	B_mel Worker.x
OG0000368	538.3436864	855.1486129	354.1632059	752.6740195	474.8377998	543.0485577	377.9316451	547.4628637	428.5211308	591.8727757	339.026689	277.6184123	467.6726993	1036.0901	281.3010363	395.0075365	718.5154369	339.9902256
OG0000376	125.6041921	125.9564932	87.68523402	63.65082871	121.2608565	170.9348598	183.6769059	191.4151371	411.5735727	338.7601886	570.5212143	299.1832215	694.5170135	440.6338623	252.2992956	239.5602339	446.3777299	605.7093052
OG0000387	46.6311908	64.157587	96.34089804	137.8103997	878.4614272	825.4312736	32.17885527	34.08446702	373.2253007	317.1116257	724.6019554	634.5507054	533.8239697	602.0244593	464.0017012	478.6612855	755.3181061	883.8532671
OG0000390	587.0387206	796.1298666	140.8615199	270.6263826	792.2410727	692.4616657	2966.930787	4170.011923	2310.865386	2438.087614	956.8586387	1509.536639	692.3310846	1215.166103	1612.053037	1969.450965	2081.921395	945.1077288
OG0000395	277.1675952	340.3555085	358.5293649	468.6633463	141.8404247	153.5132134	125.9261579	155.6581666	163.3517479	144.743768	244.523484	245.09521	116.5003589	92.70763813	151.0047735	152.6458879	539.9721762	665.9369906
OG0000398	309.8959206	445.3428352	94.02119932	185.0817693	568.2933624	524.2458498	37.33948556	38.50852702	702.0097105	779.6115815	481.1713358	571.839249	176.1344006	208.0230963	265.1353393	264.7357085	486.7122649	262.0913337
OG0000401	102.1901448	132.601379	154.1277301	177.0976713	281.5448984	252.4909717	58.1523401	70.14940882	144.3262486	193.5317874	146.3014738	160.3727759	100.9764879	156.513223	127.9713692	131.5919771	266.6441285	239.6768345
OG0000404	39.87082768	100.0567226	180.122442	292.1566426	118.5322442	113.2723776	131.1991997	81.430733	191.29545	222.611392	190.1014645	227.545917	101.5345081	56.67437241	103.4664831	106.7196031	63.04106536	39.35483029
OG0000433	855.5760961	1048.318166	1180.696385	1190.647108	174.0503768	214.6498886	443.6816275	450.250042	197.3910416	207.0982848	475.4726721	435.2621245	504.8754465	390.5295885	317.0381538	318.6080622	396.2581251	619.6166513
OG0000438	162.5564682	183.2265853	131.018711	335.9236349	122.2731219	116.5286417	410.2040336	512.3800851	354.7081389	400.0452815	189.7860888	317.80084	356.1441747	396.7862891	374.375229	469.3114882	359.0521498	326.6746815
OG0000442	40.69490646	56.13146466	68.56391304	172.8456678	228.9331765	255.0300975	164.155067	155.5422448	121.287558	124.8738088	216.603974	129.1385047	477.1842171	182.4089072	77.25873532	82.06876444	63.82418419	194.4039846
OG0000446	1123.368154	1419.210048	914.4161288	1803.273611	1710.896784	1777.134641	1408.232088	1471.572929	1336.841572	1686.681682	377.3557872	446.1684647	529.6297274	333.1008089	331.7767434	415.3777088	951.9827365	1009.318241
OG0000451	134.2344119	196.2527239	219.4676551	531.2573472	640.1144198	607.5124506	508.8086272	503.0238701	352.1188874	481.8868973	190.5416764	581.0129683	427.8169085	824.2161486	193.5834492	261.0088803	945.224421	461.3096272
OG0000452	85.38477184	85.7951799	109.1822591	151.4731638	58.6734609	70.26181689	31.44946789	37.14111127	258.9266409	256.8555705	116.9518226	100.3879046	57.89844491	77.69268271	48.3362344	39.07178072	166.4127502	147.9504898
