	V_cra Queen.x	V_cra Worker.x	V_vul Queen.x	V_vul Worker.x	A_caj Queen.x	A_caj Worker.x	P_can Queen.x	P_can Worker.x	A_pal Queen.x	A_pal Worker.x	M_cin Queen.x	M_cin Worker.x	M_bas Queen.x	M_bas Worker.x	P_qua Queen.x	P_qua Worker.x	B_mel Queen.x	B_mel Worker.x
OG0000336	194.946410805733	123.767004641747	11.0310852954242	33.9101251615482	81.6118208015877	114.387363013246	447.929665418048	354.398292151123	258.25628932619	238.274735445063	366.405242038247	337.851155062115	452.42853760771	411.731809025418	251.347626497308	273.994877660445	627.66973772587
OG0000337	740.679093921556	942.39510900365	458.876912378572	613.492377495898	487.440147972999	473.27834798172	489.54765157279	467.205190018608	375.902247888308	387.706521490563	1239.59733522513	554.488253111826	236.076122574472	241.898231912527	298.575297097991	284.874275587072	709.897214283845
OG0000342	104.383798815887	175.008911920792	144.143493362226	239.240352925371	226.313613920396	236.270468600554	208.605221509502	215.118548175461	138.379293697721	135.212649369834	146.518294634541	160.620647302845	170.063308304191	174.714704352647	143.344668909306	158.800541746487	166.025106358794
OG0000354	1568.55885010374	2040.77550802821	1038.92944391776	1776.25015154793	1160.33584527814	1042.62028799864	724.238769373243	669.116728131822	1013.25647443835	1342.12528088772	893.349856771578	1103.77616489585	265.58406453097	665.083143415541	739.625210886038	977.674617508705	861.430706797826
OG0000357	34.2743846797342	57.3878926933906	69.764917887379	90.9494699018437	153.022756664198	74.9270170486408	77.6153989215756	110.096865540739	95.4247699265693	129.397051547475	95.0507322442314	147.480986016542	85.8176375342252	87.2203578324166	57.1318442695466	70.9919986881887	183.249804900628
OG0000364	263.115958069932	325.93244884593	271.682231956828	393.463409011918	406.475513224941	389.996542810468	567.978248161314	510.170650395347	255.060599990643	225.515960000344	306.177243496395	300.172228215656	508.092104497637	453.58076613674	240.650263145867	269.970990756077	333.217059765886
OG0000365	55.5151976543702	66.8780123227091	199.038126982033	256.538637617968	578.743165063347	572.778122211119	337.491405065298	320.658706882059	387.04851501727	327.450466275571	510.954628647729	425.347269709385	300.827447501904	329.347539196404	258.004556091045	246.205286344162	322.249480630701
OG0000368	538.343686444155	855.148612902367	354.1632059108	752.67401946687	474.837799765794	543.048557681403	377.931645117001	547.462863698623	428.521130757007	591.872775707493	339.02668895564	277.618412323548	467.672699289583	1036.09009960361	281.301036278628	395.00753653072	718.515436945945
OG0000376	125.60419213924	125.956493174273	87.6852340209106	63.6508287136849	121.260856498635	170.934859815208	183.676905905619	191.415137103044	411.573572708677	338.760188596219	570.521214260139	299.18322145217	694.517013491391	440.633862320103	252.299295636944	239.560233871207	446.377729886146
OG0000387	46.631190799429	64.1575870038328	96.3408980411489	137.810399672898	878.461427194409	825.431273618067	32.1788552742851	34.0844670165409	373.225300682112	317.111625702489	724.601955402499	634.550705393954	533.823969707249	602.024459251656	464.001701156527	478.661285453027	755.318106096821
OG0000390	587.03872056976	796.129866610676	140.861519909501	270.626382620276	792.241072736913	692.461665744916	2966.93078712103	4170.0119234963	2310.86538595369	2438.08761406189	956.858638652182	1509.53663900359	692.331084619027	1215.16610334311	1612.05303719786	1969.45096479939	2081.92139456547
OG0000395	277.167595246176	340.355508497774	358.529364853854	468.663346276513	141.840424742944	153.513213366026	125.926157921965	155.658166628839	163.351747896105	144.743768023143	244.52348397088	245.095209958415	116.500358923088	92.7076381280894	151.004773466223	152.645887902768	539.97217617973
OG0000398	309.895920614428	445.342835168501	94.0211993179054	185.081769315485	568.293362411474	524.245849804613	37.3394855574731	38.5085270247284	702.009710460261	779.611581520101	481.171335841524	571.839248962442	176.134400585018	208.023096270533	265.135339261387	264.735708469837	486.712264934893
OG0000401	102.190144849407	132.601378962971	154.127730105678	177.097671253006	281.54489844475	252.490971716366	58.152340097477	70.1494088170885	144.326248596104	193.531787421212	146.30147383979	160.37277593355	100.976487852557	156.513222961494	127.971369177358	131.591977142872	266.644128506902
OG0000404	39.8708276779954	100.056722636575	180.122442014567	292.156642592545	118.532244236315	113.272377640498	131.199199672911	81.4307330017003	191.295449992982	222.611391976844	190.101464488463	227.545917012363	101.53450808293	56.674372410848	103.466483129706	106.719603134386	63.0410653611136
OG0000433	855.576096055522	1048.31816587483	1180.69638458243	1190.64710845102	174.05037679172	214.649888599911	443.681627470439	450.250042035203	197.391041604647	207.098284785703	475.472672124946	435.262124481165	504.875446528068	390.529588512247	317.038153845293	318.608062197772	396.258125127
OG0000438	162.556468230183	183.226585311044	131.018710962857	335.92363490954	122.273121864413	116.528641740454	410.204033597284	512.380085135455	354.708138941533	400.045281537	189.786088787007	317.800839999881	356.144174749895	396.786289095617	374.37522901173	469.311488178986	359.052149781577
OG0000442	40.6949064619458	56.1314646603227	68.5639130368861	172.845667824523	228.933176518019	255.030097497032	164.15506703922	155.542244837463	121.287558037509	124.873808796752	216.603973955915	129.138504688748	477.184217050905	182.408907229617	77.2587353159611	82.0687644409557	63.8241841854753
